TIME ms, IN2,no_offset
0.02,0.293997,0.325549108
0.015,0.422361,0.453913108
0.01,-0.155278,-0.123725892
0.005,0.679089,0.710641108
0,-0.283642,-0.252089892
-0.005,-0.155278,-0.123725892
-0.01,-0.026914,0.004638108
-0.015,0.10145,0.133002108
-0.02,0.422361,0.453913108
-0.024,0.037268,0.068820108
-0.029,0.550725,0.582277108
-0.034,0.165632,0.197184108
-0.039,-0.155278,-0.123725892
-0.044,0.679089,0.710641108
-0.049,0.422361,0.453913108
-0.054,0.165632,0.197184108
-0.059,0.165632,0.197184108
-0.063,0.293997,0.325549108
-0.068,-0.026914,0.004638108
-0.073,0.293997,0.325549108
-0.078,0.229815,0.261367108
-0.083,0.229815,0.261367108
-0.088,0.486543,0.518095108
-0.093,-0.026914,0.004638108
-0.098,0.807454,0.839006108
-0.103,0.935818,0.967370108
-0.107,-0.091096,-0.059543892
-0.112,0.743272,0.774824108
-0.117,0.614907,0.646459108
-0.122,0.358179,0.389731108
-0.127,0.229815,0.261367108
-0.132,-0.347825,-0.316272892
-0.137,-0.347825,-0.316272892
-0.142,-0.476189,-0.444636892
-0.146,-0.540371,-0.508818892
-0.151,0.165632,0.197184108
-0.156,-0.21946,-0.187907892
-0.161,-0.091096,-0.059543892
-0.166,-0.155278,-0.123725892
-0.171,-0.155278,-0.123725892
-0.176,-0.091096,-0.059543892
-0.181,0.550725,0.582277108
-0.186,0.679089,0.710641108
-0.19,0.550725,0.582277108
-0.195,0.550725,0.582277108
-0.2,-0.283642,-0.252089892
-0.205,0.10145,0.133002108
-0.21,0.358179,0.389731108
-0.215,0.293997,0.325549108
-0.22,-0.347825,-0.316272892
-0.225,-0.668735,-0.637182892
-0.229,-0.026914,0.004638108
-0.234,-0.347825,-0.316272892
-0.239,-0.347825,-0.316272892
-0.244,0.037268,0.068820108
-0.249,-0.283642,-0.252089892
-0.254,0.293997,0.325549108
-0.259,0.422361,0.453913108
-0.264,0.229815,0.261367108
-0.269,0.229815,0.261367108
-0.273,-0.540371,-0.508818892
-0.278,-0.540371,-0.508818892
-0.283,-0.412007,-0.380454892
-0.288,-0.989646,-0.958093892
-0.293,-0.026914,0.004638108
-0.298,0.871636,0.903188108
-0.303,-0.026914,0.004638108
-0.308,0.165632,0.197184108
-0.313,-0.347825,-0.316272892
-0.317,-0.155278,-0.123725892
-0.322,-0.21946,-0.187907892
-0.327,-0.283642,-0.252089892
-0.332,-0.21946,-0.187907892
-0.337,-0.347825,-0.316272892
-0.342,-0.540371,-0.508818892
-0.347,-0.412007,-0.380454892
-0.352,-0.476189,-0.444636892
-0.356,-0.283642,-0.252089892
-0.361,-0.797099,-0.765546892
-0.366,-0.347825,-0.316272892
-0.371,-0.925464,-0.893911892
-0.376,-0.155278,-0.123725892
